Date,Open,High,Low,Close,Adj Close,Volume
2019-10-31,87.489998,87.489998,85.760002,86.169998,81.565712,628200
2019-11-01,86.550003,86.980003,85.320000,85.680000,81.101891,611500
2019-11-04,86.099998,86.169998,85.269997,85.309998,80.751663,549300
2019-11-05,85.389999,86.440002,84.250000,86.370003,81.755028,713100
2019-11-06,86.660004,87.470001,86.330002,86.769997,82.133636,557600
2019-11-07,86.750000,87.430000,86.440002,87.360001,82.692123,517400
2019-11-08,87.639999,88.669998,87.459999,88.010002,83.307396,696700
2019-11-11,88.099998,89.500000,87.860001,89.279999,84.509529,480400
2019-11-12,89.690002,90.349998,88.309998,88.889999,84.140373,428900
2019-11-13,89.000000,90.309998,89.000000,89.830002,85.030144,560200
2019-11-14,90.169998,90.709999,88.529999,89.180000,84.414879,461200
2019-11-15,89.300003,89.540001,87.309998,87.910004,83.212738,704700
2019-11-18,88.320000,88.510002,87.184998,87.230003,82.569077,906000
2019-11-19,87.360001,87.800003,86.930000,87.309998,82.644783,614400
2019-11-20,87.400002,87.910004,86.629997,87.779999,83.089691,1377500
2019-11-21,88.139999,88.139999,86.720001,86.959999,82.313499,617400
2019-11-22,86.949997,87.040001,86.110001,86.160004,81.556244,728900
2019-11-25,86.449997,87.379997,86.339996,86.589996,81.963257,472600
2019-11-26,86.680000,87.000000,86.120003,86.430000,81.811813,1638100
2019-11-27,86.699997,88.169998,86.440002,88.019997,83.316856,448000
2019-11-28,88.000000,88.129997,87.449997,87.459999,82.786781,76500
2019-11-29,87.580002,87.800003,87.129997,87.269997,82.606934,238100
2019-12-02,87.139999,87.650002,86.879997,87.190002,82.531212,637200
2019-12-03,87.080002,87.669998,86.629997,86.889999,82.247246,446100
2019-12-04,86.959999,87.290001,86.120003,86.550003,81.925400,431900
2019-12-05,86.750000,87.599998,85.779999,87.400002,82.729980,1026200
2019-12-06,87.949997,88.070000,87.120003,87.330002,82.663742,618500
2019-12-09,87.360001,88.080002,86.949997,87.330002,82.663742,632200
2019-12-10,87.550003,89.029999,87.550003,88.879997,84.130905,781700
2019-12-11,88.900002,88.959999,87.410004,87.410004,82.739449,608900
2019-12-12,87.389999,88.190002,86.779999,87.500000,82.824646,567600
2019-12-13,87.709999,88.230003,87.290001,87.839996,83.146469,516200
2019-12-16,87.239998,87.389999,86.339996,86.430000,82.429276,742200
2019-12-17,86.540001,86.580002,85.629997,85.800003,81.828445,626000
2019-12-18,85.709999,86.050003,84.720001,84.980003,81.046402,982600
2019-12-19,85.059998,86.129997,85.059998,85.279999,81.332520,731100
2019-12-20,85.470001,86.180000,85.139999,85.540001,81.580475,2711300
2019-12-23,85.930000,85.989998,84.550003,84.550003,80.636322,409300
2019-12-24,84.489998,84.870003,84.110001,84.589996,80.674446,229800
2019-12-27,84.660004,84.750000,84.089996,84.339996,80.436028,356100
2019-12-30,84.199997,84.290001,82.940002,83.500000,79.634903,469400
2019-12-31,83.190002,83.639999,82.779999,82.779999,78.948235,430400
2020-01-02,83.139999,84.360001,82.820000,83.940002,80.054550,728200
2020-01-03,83.410004,84.419998,83.120003,83.680000,79.806572,662600
2020-01-06,83.410004,83.610001,81.639999,81.790001,78.004051,1153000
2020-01-07,82.000000,83.570000,82.000000,82.449997,78.633514,763900
2020-01-08,81.809998,82.019997,80.910004,81.279999,77.517662,987800
2020-01-09,81.800003,83.279999,81.599998,82.139999,78.337852,888400
2020-01-10,82.230003,82.269997,81.449997,81.650002,77.870537,799900
2020-01-13,81.160004,82.110001,80.440002,82.040001,78.242485,676200
2020-01-14,82.010002,82.809998,81.529999,82.029999,78.232948,618100
2020-01-15,82.169998,82.620003,81.769997,81.830002,78.042206,559200
2020-01-16,81.860001,83.029999,81.529999,82.330002,78.519066,740300
2020-01-17,82.570000,83.970001,82.290001,83.779999,79.901955,572600
2020-01-20,84.080002,84.300003,83.160004,84.239998,80.340645,699700
2020-01-21,84.790001,86.050003,84.389999,85.480003,81.523262,840200
2020-01-22,85.680000,86.199997,85.169998,85.589996,81.628159,718300
2020-01-23,85.699997,85.879997,85.139999,85.779999,81.809364,663900
2020-01-24,85.820000,86.120003,84.180000,84.410004,80.502792,585500
2020-01-27,83.610001,84.209999,83.300003,83.849998,79.968712,701300
2020-01-28,84.120003,84.400002,82.620003,82.639999,78.814713,1644300
2020-01-29,83.000000,84.230003,82.599998,82.970001,79.129440,637300
2020-01-30,82.639999,82.739998,81.800003,81.879997,78.089890,511300
2020-01-31,81.879997,82.260002,80.459999,80.739998,77.002663,658400
2020-02-03,80.820000,81.480003,80.410004,80.739998,77.002663,503800
2020-02-04,81.300003,82.070000,80.769997,81.889999,78.099434,476500
2020-02-05,82.220001,83.820000,81.879997,83.790001,79.911491,697400
2020-02-06,83.610001,84.379997,83.029999,83.949997,80.064079,741100
2020-02-07,83.820000,85.059998,83.419998,84.720001,80.798439,521400
2020-02-10,86.709999,88.150002,84.620003,87.389999,83.344833,1016300
2020-02-11,87.540001,88.389999,86.959999,88.250000,84.165039,693800
2020-02-12,88.529999,88.529999,87.349998,87.750000,83.688179,611400
2020-02-13,87.570000,88.400002,87.339996,87.949997,83.878922,556800
2020-02-14,87.930000,89.250000,87.889999,89.110001,84.985229,569100
2020-02-18,89.190002,89.320000,87.489998,87.750000,83.688179,848600
2020-02-19,87.660004,87.970001,87.190002,87.190002,83.154099,633800
2020-02-20,87.269997,88.080002,87.120003,88.029999,83.955231,910200
2020-02-21,87.970001,87.970001,86.489998,87.199997,83.163643,1094300
2020-02-24,85.660004,86.599998,85.290001,85.489998,81.532791,718100
2020-02-25,85.690002,86.550003,82.830002,83.500000,79.634903,1260600
2020-02-26,83.400002,84.480003,81.470001,81.949997,78.156654,1648700
2020-02-27,80.739998,81.589996,78.930000,81.080002,77.326927,711700
2020-02-28,79.449997,80.070000,76.809998,79.110001,75.448112,2742500
2020-03-02,78.980003,79.540001,76.839996,79.230003,75.562561,1364300
2020-03-03,79.480003,79.839996,75.760002,76.349998,72.815872,1447600
2020-03-04,76.870003,77.389999,75.919998,76.879997,73.321342,1140200
2020-03-05,75.900002,75.900002,71.800003,72.150002,68.810280,1578500
2020-03-06,70.489998,74.099998,69.839996,73.839996,70.422050,1687800
2020-03-09,70.769997,72.699997,70.059998,71.419998,68.114075,1169000
2020-03-10,72.769997,73.879997,70.650002,72.199997,68.857971,1292200
2020-03-11,70.989998,70.989998,65.209999,65.879997,62.830509,1925300
2020-03-12,58.160000,61.580002,58.160000,59.310001,56.564625,1783500
